"",,"< 22 Weeks",,,,"22 Weeks",,,,"23 Weeks",,,,"24 Weeks",,,,"25 Weeks",,,,"26 Weeks",,,,"27 Weeks",,,,"28 Weeks",,,,"29 Weeks",,,,"30 Weeks",,,,"31 Weeks",,,,"32 Weeks",,,,"33 Weeks",,,,"34 Weeks",,,,"35 Weeks",,,,"36 Weeks",,,,"37 Weeks",,,,"> 37 Weeks",,,,"All",,
"","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3"
"Total Length Of Stay","4","1","1","32.5","22","128","8.5","164.25","40","121","11","157.25","55","111","27.5","124","81","102","86","122","53","89","68","99","62","73.5","63","95","101","64","53","76","98","52.5","43","61","74","48","41.25","54","41","36","32","43","33","31","24","46","22","29","25","52.5","13","22","18","38","1","25","25","25","4","16.5","10.75","21.25","2","26","23.5","28.5","2","24.5","23.25","25.75","708","60","40","95"
