"",,"< 501 g",,,,"501-600 g",,,,"601-700 g",,,,"701-800 g",,,,"801-900 g",,,,"901-1000 g",,,,"1001-1100 g",,,,"1101-1200 g",,,,"1201-1300 g",,,,"1301-1400 g",,,,"> 1400 g",,,,"All",,
"","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3"
"Total Length Of Stay","38","43.5","10","149","44","119.5","67","145.25","55","112","99","135.5","64","100","77.25","124.75","62","88","63","103","63","73","57","94","65","63","50","74","56","61","48.75","73","63","52","35.5","64.5","93","42","35","52","105","42","25","54","708","60","40","95"
