"",,"< 501 g",,,,"501-600 g",,,,"601-700 g",,,,"701-800 g",,,,"801-900 g",,,,"901-1000 g",,,,"1001-1100 g",,,,"1101-1200 g",,,,"1201-1300 g",,,,"1301-1400 g",,,,"> 1400 g",,,,"All",,
"","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3","N","Median","Q1","Q3"
"Initial Length of Stay (By Disposition) - Home","15","138","115.5","213.5","25","122","101","152","34","112.5","102.75","128","44","103","90.5","120.25","49","87","74","100","55","73","59","89","56","62.5","50.75","72.25","45","61","49","73","54","52","41.25","70.5","86","43","35.5","52","90","43","26.25","54.75","553","63","45","92"
"Initial Length of Stay (By Disposition) - Transfer","3","116","85.5","144","8","55","35.75","94.5","13","39","26","94","11","97","35","135","6","58","36.25","69.25","5","51","29","60","7","42","35","64.5","8","35.5","17.75","42","3","26","14","29","3","23","21.5","28.5","6","17.5","8","27","73","39","24","72"
"Initial Length of Stay (By Disposition) - Died","20","9.5","1.75","11","11","8","2.5","12.5","8","3.5","2.75","5.25","9","8","2","25","7","9","4.5","15.5","3","2","1.5","8.5","3","17","9","27","3","1","1","2.5","6","1.5","1","2.75","4","13.5","1","26.5","9","10","3","18","83","6","2","13"
"Initial Length of Stay (By Disposition) - All","39","40","9.5","125","45","101","26","132","55","105","36.5","125.5","64","96.5","57.5","119.25","62","82.5","57.5","95.25","63","66","51","85","66","59","46.5","72","56","54.5","36.75","70.5","63","46","32.5","64.5","93","42","34","51","106","40","22","52.75","712","55.5","35","86.25"
"Predicted Length of Stay","15","141","119","172.5","31","138","116.5","183","47","131","113","161.5","55","106","97","136","55","100","87.5","125","60","86.5","73.75","97.25","62","75.5","65","81","53","67","55","71","56","58","48.75","64","89","49","42","58","95","42","35.5","50","618","71","51","102.75"
"Total Length Of Stay","38","43.5","10","149","44","119.5","67","145.25","55","112","99","135.5","64","100","77.25","124.75","62","88","63","103","63","73","57","94","65","63","50","74","56","61","48.75","73","63","52","35.5","64.5","93","42","35","52","105","42","25","54","708","60","40","95"
